"filename", "language", "TypeScript", "TypeScript React", "XML", "JSON with Comments", "JSON", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 26, 0, 21, 47
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/package-lock.json", "JSON", 0, 0, 0, 0, 27877, 0, 0, 0, 0, 1, 27878
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/package.json", "JSON", 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/public/manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/src/App.test.tsx", "TypeScript React", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/src/App.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/src/css/App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/src/css/index.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/src/index.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 0, 3, 3, 20
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/src/reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/src/setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/src/static/img/logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/jwrigh03/Documents/Programming/TypeScript/Personal Website/personal-website/tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 14, 42, 1, 26, 27945, 47, 20, 26, 31, 49, 28201